title,artist
Good Times Bad Times,Led Zeppelin
Whole Lotta Love,Led Zeppelin
Kashmir,Led Zeppelin
Immigrant Song,Led Zeppelin
Babe I'm gonna Leave You,Led Zeppelin
Stairway to Heaven,Led Zeppelin
Californication,red hot chili peppers
Little black submarines,black keys
Lola,the kinks
Danger High Voltage,Electric six
Little black submarines,black keys
Superstition,Stevie Wonder
All along the watchtower,jimi hendrix
Voodo chil,jimi Hendrix
Purple Haze,jimi Hendrix
Wish you were here,Pink Floyd
Paint it black,Rolling Stones
Hotel California,The Eagles
Horse With no name,America
nothing else matters,metallica
Ain't no rest for the wicked,Cage the elephant
ace of spades,motorhead
Riders on the storm,The doors
Light my fire,The doors
snow hey oh,red hot chili peppers
